Scan,Time,SensorIndex,Range,Azimuth,RangeRate,ObjectID
48,4.7,1,31.8123,0.13108,0.031614,0
48,4.7,1,34.4378,0.12697,-0.023528,0
48,4.7,1,35.0047,0.021377,5.025,0
48,4.7,1,35.3155,0.050572,4.9533,0
48,4.7,1,36.8252,0.10811,0.017466,0
48,4.7,1,37.7146,0.012454,4.9871,0
48,4.7,1,39.7352,0.10708,0.016104,0
48,4.7,1,40.0477,0.020449,5.0267,0
48,4.7,1,41.2726,0.11594,0.0032954,0
48,4.7,1,42.4376,0.101,0.0049055,0
48,4.7,1,43.6329,0.09286,0.018349,0
48,4.7,2,20.2469,-0.58918,0.025273,0
48,4.7,2,20.2953,-0.61761,0.019224,0
48,4.7,2,21.4294,-0.62826,-0.032786,0
48,4.7,2,22.9066,-0.43118,0.040805,0
48,4.7,2,23.9602,-0.33458,0.039973,0
48,4.7,2,24.0578,-0.6519,0.0085577,0
48,4.7,2,24.6415,-0.27088,0.057309,0
48,4.7,2,25.3987,-0.22025,-0.028929,0
48,4.7,2,26.5417,-0.15666,-0.017861,0
48,4.7,2,26.9281,-0.66058,0.010272,0
48,4.7,2,28.3792,-0.65673,0.010319,0
48,4.7,2,28.3829,-0.080111,0.0095762,0
48,4.7,2,29.3983,-0.86337,1.5329,0
48,4.7,2,29.4847,-0.034703,-0.035775,0
48,4.7,2,29.6052,-0.6892,-0.0026023,0
48,4.7,2,31.7998,0.050552,-0.029589,0
48,4.7,2,32.5129,-0.68797,-0.013383,0
48,4.7,2,33.7379,-0.69229,0.0048108,0
48,4.7,2,34.1403,0.11113,0.026506,0
48,4.7,2,36.1846,-0.78891,5.0077,0
48,4.7,2,36.6486,-0.70011,-0.024821,0
48,4.7,2,36.7506,0.1526,-0.0057315,0
48,4.7,2,36.8147,0.26984,4.1915,0
48,4.7,2,37.8122,0.18249,0.010066,0
48,4.7,2,38.1735,0.22025,3.968,0
48,4.7,2,39.2689,0.20872,-0.0034446,0
48,4.7,2,39.2699,-0.69289,0.029341,0
